CHROM	MINBP	MAXBP	GENE	mean_log2_expr	sd_log2_expr	effect
22	19179473	19291719	CLTCL1	8.97692875929076	1.09422303288406	1
22	30396941	30425303	SEC14L2	6.97868598912572	1.27226169306252	1
22	35738736	36028824	RBFOX2	5.18887362124175	1.09332405950182	1
22	37608725	37633564	GGA1	11.5355435950047	0.761178181140437	1
22	38468078	38483447	KDELR3	3.90050138562694	1.21608273571519	1
22	40857077	40932815	XPNPEP3	7.94479874751944	0.93312590207779	1
22	41621163	41664048	XRCC6	12.568360441207	0.840839021235488	1
22	50185913	50199598	TRABD	12.6345843000304	0.866965829687042	1
22	50309030	50327012	DENND6B	7.92915195589485	0.883370049008874	1
22	50674415	50733212	SHANK3	5.14473091124481	1.09789116493077	1
